id,name,slug,created_at,updated_at
914,Body,body,NULL,NULL
915,Bottoms,bottoms,NULL,NULL
916,Outwear,outwear,NULL,NULL
917,Plus Size,plus-size,NULL,NULL
918,Shirt,shirt,NULL,NULL
919,Sportswear,sportswear,NULL,NULL
920,T-Shirts,t-shirts,NULL,NULL
921,Clothing Set,clothing-set,NULL,NULL
922,Dresses,dresses,NULL,NULL
923,Jumpsuits,jumpsuits,NULL,NULL
924,Maternity,maternity,NULL,NULL
925,Tops,tops,NULL,NULL
926,Casual Shoes,casual-shoes,NULL,NULL
927,Sandals,sandals,NULL,NULL
928,Shoe Care,shoe-care,NULL,NULL
929,Sports Shoes,sports-shoes,NULL,NULL
930,Boots,boots,NULL,NULL
931,Formal Shoes,formal-shoes,NULL,NULL
932,Slippers,slippers,NULL,NULL
933,Flats,flats,NULL,NULL
934,Heels,heels,NULL,NULL
935,Wedges,wedges,NULL,NULL
936,Free Item Gift,free-item-gift,NULL,NULL
937,Hand Accessories,hand-accessories,NULL,NULL
938,Hair Accessories,hair-accessories,NULL,NULL
939,School,school,NULL,NULL
940,Baby Products,baby-products,NULL,NULL
941,Bags,bags,NULL,NULL
942,Belts,belts,NULL,NULL
943,Eye wear,eye-wear,NULL,NULL
944,Scarves,scarves,NULL,NULL
945,Technology,technology,NULL,NULL
946,Luggage,luggage,NULL,NULL
947,Suit Accessories,suit-accessories,NULL,NULL
948,Head Accessories,head-accessories,NULL,NULL
949,Beauty Accessories,beauty-accessories,NULL,NULL
950,Jewellery,jewellery,NULL,NULL
951,Cosmetics Kit,cosmetics-kit,NULL,NULL
952,Eyes,eyes,NULL,NULL
953,Face,face,NULL,NULL
954,Lips,lips,NULL,NULL
955,Nails,nails,NULL,NULL
956,Eau De Perfum,eau-de-perfum,NULL,NULL
957,Mist & Spray,mist-&-spray,NULL,NULL
958,Haircare,haircare,NULL,NULL
959,Skincare,skincare,NULL,NULL
960,Infants,infants,NULL,NULL
961,Pajama,pajama,NULL,NULL
962,Pre-Teens,pre-teens,NULL,NULL
963,Teens,teens,NULL,NULL
964,Toddlers,toddlers,NULL,NULL
965,Beach Wear,beach-wear,NULL,NULL
966,Body,body,NULL,NULL
967,Bottoms,bottoms,NULL,NULL
968,Outwear,outwear,NULL,NULL
969,Plus Size,plus-size,NULL,NULL
970,Shirt,shirt,NULL,NULL
971,Sportswear,sportswear,NULL,NULL
972,T-Shirts,t-shirts,NULL,NULL
973,Clothing Set,clothing-set,NULL,NULL
974,Dresses,dresses,NULL,NULL
975,Jumpsuits,jumpsuits,NULL,NULL
976,Maternity,maternity,NULL,NULL
977,Tops,tops,NULL,NULL
978,Casual Shoes,casual-shoes,NULL,NULL
979,Sandals,sandals,NULL,NULL
980,Shoe Care,shoe-care,NULL,NULL
981,Sports Shoes,sports-shoes,NULL,NULL
982,Boots,boots,NULL,NULL
983,Formal Shoes,formal-shoes,NULL,NULL
984,Slippers,slippers,NULL,NULL
985,Flats,flats,NULL,NULL
986,Heels,heels,NULL,NULL
987,Wedges,wedges,NULL,NULL
988,Free Item Gift,free-item-gift,NULL,NULL
989,Hand Accessories,hand-accessories,NULL,NULL
990,Hair Accessories,hair-accessories,NULL,NULL
991,School,school,NULL,NULL
992,Baby Products,baby-products,NULL,NULL
993,Bags,bags,NULL,NULL
994,Belts,belts,NULL,NULL
995,Eye wear,eye-wear,NULL,NULL
996,Scarves,scarves,NULL,NULL
997,Technology,technology,NULL,NULL
998,Luggage,luggage,NULL,NULL
999,Suit Accessories,suit-accessories,NULL,NULL
1000,Head Accessories,head-accessories,NULL,NULL
1001,Beauty Accessories,beauty-accessories,NULL,NULL
1002,Jewellery,jewellery,NULL,NULL
1003,Cosmetics Kit,cosmetics-kit,NULL,NULL
1004,Eyes,eyes,NULL,NULL
1005,Face,face,NULL,NULL
1006,Lips,lips,NULL,NULL
1007,Nails,nails,NULL,NULL
1008,Eau De Perfum,eau-de-perfum,NULL,NULL
1009,Mist & Spray,mist-&-spray,NULL,NULL
1010,Haircare,haircare,NULL,NULL
1011,Skincare,skincare,NULL,NULL
1012,Infants,infants,NULL,NULL
1013,Pajama,pajama,NULL,NULL
1014,Pre-Teens,pre-teens,NULL,NULL
1015,Teens,teens,NULL,NULL
1016,Toddlers,toddlers,NULL,NULL
1017,Beach Wear,beach-wear,NULL,NULL
1018,Body,body,NULL,NULL
